Step,train_acc,train_loss,val_acc,val_loss
0,0.006327361799777,5.25734949111939,0.008371438831091,5.20770788192749
1,0.01004468742758,5.18593406677246,0.012944073416293,5.13345909118652
2,0.011923123151064,5.13152360916138,0.013155117630959,5.10922431945801
3,0.013012181967497,5.10110998153687,0.015124868601561,5.06280374526978
4,0.015954922884703,5.05908489227295,0.021104468032718,5.01978254318237
5,0.016451140865684,5.03144645690918,0.021385859698057,4.96610879898071
6,0.018272425979376,5.01204586029053,0.020119592547417,4.95135641098022
7,0.019770661368966,4.9959774017334,0.024692226201296,4.93656253814697
8,0.020603472366929,4.98680734634399,0.024551531299949,4.929030418396
9,0.019913779571652,4.98780870437622,0.021315511316061,4.95642042160034
10,0.019456638023257,4.98970556259155,0.022863173857331,4.94945096969605
11,0.020761655643582,4.98390626907349,0.024551531299949,4.92071008682251
12,0.020227786153555,4.9835376739502,0.0246218778193,4.91425895690918
13,0.021710760891438,4.9794340133667,0.023848047479987,4.92405939102173
14,0.021888718008995,4.97279691696167,0.027013719081879,4.91288137435913
15,0.020959386602044,4.97559022903442,0.022370735183358,4.9621262550354
16,0.021295526996255,4.9756646156311,0.027084067463875,4.90436553955078
17,0.021730534732342,4.97367811203003,0.024481182917953,4.99766063690186
18,0.021868944168091,4.97139549255371,0.023566655814648,4.93531799316406
19,0.021592123433948,4.96560955047607,0.0246218778193,4.95229196548462
