Step,val_acc,val_loss,train_loss,train_acc
0,0.017587056383491,5.89728116989136,5.11652326583862,0.012267025187612
1,0.056771017611027,5.34947633743286,4.63283109664917,0.038245420902968
2,0.104467108845711,5.89098215103149,3.97001838684082,0.11202596873045
3,0.269293010234833,2.99143075942993,3.19097661972046,0.229215309023857
4,0.373338013887405,2.72372031211853,2.56954002380371,0.340348094701767
5,0.45205768942833,2.17398142814636,2.16495418548584,0.426021933555603
6,0.485262036323547,2.20115518569946,1.88974380493164,0.484488159418106
7,0.493070691823959,1.87744772434235,1.74485862255096,0.519666790962219
8,0.542806923389435,1.84063124656677,1.51909959316254,0.573364734649658
9,0.532254636287689,2.05133485794067,1.40128612518311,0.604507148265839
10,0.573971152305603,1.68464779853821,1.27720057964325,0.63179874420166
11,0.551881790161133,1.88745617866516,1.18694126605988,0.654307305812836
12,0.545058012008667,2.71531915664673,1.12673079967499,0.670352041721344
13,0.604431927204132,1.8033732175827,1.05982220172882,0.688227355480194
14,0.616602182388306,1.96660125255585,0.974001824855804,0.711965978145599
15,0.5838902592659,2.45188212394714,0.89363956451416,0.730840802192688
16,0.631445646286011,1.54865515232086,0.846520245075226,0.741712808609009
17,0.615969061851501,2.12257766723633,0.804064869880676,0.758557260036469
18,0.66197681427002,1.36493444442749,0.747169673442841,0.773137509822845
19,0.640942692756653,1.93801093101501,0.696432232856751,0.786771416664124
